source,metric_id,metric_name,unitid,institution_name,data_year,period_label,period_type,value,value_unit,definition_reference_year,definition_variable
IPEDS,total_price_in_state_on_campus,Total price for in-state students living on campus,170082,Grand Valley State University,2014,2014-15,academic_year,21562,USD,2023,CINSON
IPEDS,total_price_out_state_on_campus,Total price for out-of-state students living on campus,170082,Grand Valley State University,2014,2014-15,academic_year,26218,USD,2023,COTSON
IPEDS,total_price_in_state_off_campus_not_family,Total price for in-state students living off campus (not with family),170082,Grand Valley State University,2014,2014-15,academic_year,19262,USD,2023,CINSOFF
IPEDS,total_price_out_state_off_campus_not_family,Total price for out-of-state students living off campus (not with family),170082,Grand Valley State University,2014,2014-15,academic_year,23918,USD,2023,COTSOFF
IPEDS,total_price_in_state_off_campus_family,Total price for in-state students living off campus (with family),170082,Grand Valley State University,2014,2014-15,academic_year,,USD,2023,CINSFAM
IPEDS,total_price_out_state_off_campus_family,Total price for out-of-state students living off campus (with family),170082,Grand Valley State University,2014,2014-15,academic_year,,USD,2023,COTSFAM
IPEDS,percent_admitted_total,Percent admitted - total,170082,Grand Valley State University,2014,2014-15,fall,80,Percent,2023,DVADM01
IPEDS,percent_admitted_men,Percent admitted - men,170082,Grand Valley State University,2014,2014-15,fall,78,Percent,2023,DVADM02
IPEDS,percent_admitted_women,Percent admitted - women,170082,Grand Valley State University,2014,2014-15,fall,82,Percent,2023,DVADM03
IPEDS,pct_first_time_undergrads_in_state,Percent of first-time undergraduates - in-state,170082,Grand Valley State University,2014,2014-15,fall,92,Percent,2023,RMINSTTP
IPEDS,pct_first_time_undergrads_out_state,Percent of first-time undergraduates - out-of-state,170082,Grand Valley State University,2014,2014-15,fall,8,Percent,2023,RMOUSTTP
IPEDS,pct_first_time_undergrads_foreign,Percent of first-time undergraduates - foreign countries,170082,Grand Valley State University,2014,2014-15,fall,1,Percent,2023,RMFRGNCP
IPEDS,full_time_retention_rate,Full-time retention rate,170082,Grand Valley State University,2014,2014-15,fall,83,Percent,2023,RET_PCF
IPEDS,pct_students_exclusively_distance_ed,Percent of students enrolled exclusively in distance education courses,170082,Grand Valley State University,2014,2014-15,fall,1,Percent,2023,PCTDEEXC
IPEDS,pct_students_some_distance_ed,Percent of students enrolled in some but not all distance education courses,170082,Grand Valley State University,2014,2014-15,fall,3,Percent,2023,PCTDESOM
IPEDS,pct_students_no_distance_ed,Percent of students not enrolled in any distance education courses,170082,Grand Valley State University,2014,2014-15,fall,96,Percent,2023,PCTDENON
IPEDS,grad_rate_bachelors_within_4_years_total,"Graduation rate - Bachelor degree within 4 years, total",170082,Grand Valley State University,2014,2014-15,graduation_release_year,31,Percent,2023,GBA4RTT
IPEDS,grad_rate_bachelors_within_5_years_total,"Graduation rate - Bachelor degree within 5 years, total",170082,Grand Valley State University,2014,2014-15,graduation_release_year,58,Percent,2023,GBA5RTT
